(5, 4, 3)
(13, 12, 5)
(17, 15, 8)
(25, 24, 7)
(29, 21, 20)
(37, 35, 12)
(41, 40, 9)
(53, 45, 28)
(61, 60, 11)
(65, 56, 33)
(65, 63, 16)
(73, 55, 48)
(85, 77, 36)
(85, 84, 13)
(89, 80, 39)
(97, 72, 65)
(101, 99, 20)
(109, 91, 60)
(113, 112, 15)
(125, 117, 44)
(137, 105, 88)
(145, 143, 24)
(145, 144, 17)
(149, 140, 51)
(157, 132, 85)
(169, 120, 119)
(173, 165, 52)
(181, 180, 19)
(185, 153, 104)
(185, 176, 57)
(193, 168, 95)
(197, 195, 28)
(205, 156, 133)
(205, 187, 84)
(221, 171, 140)
(221, 220, 21)
(229, 221, 60)
(233, 208, 105)
(241, 209, 120)
(257, 255, 32)
(265, 247, 96)
(265, 264, 23)
(269, 260, 69)
(277, 252, 115)
(281, 231, 160)
(289, 240, 161)
(293, 285, 68)
(305, 224, 207)
(305, 273, 136)
(313, 312, 25)
(317, 308, 75)
(325, 253, 204)
(325, 323, 36)
(337, 288, 175)
(349, 299, 180)
(353, 272, 225)
(365, 357, 76)
(365, 364, 27)
(373, 275, 252)
(377, 345, 152)
(377, 352, 135)
(389, 340, 189)
(397, 325, 228)
(401, 399, 40)
(409, 391, 120)
(421, 420, 29)
(425, 304, 297)
(425, 416, 87)
(433, 408, 145)
(445, 396, 203)
(445, 437, 84)
(449, 351, 280)
(457, 425, 168)
(461, 380, 261)
(481, 360, 319)
(481, 480, 31)
(485, 476, 93)
(485, 483, 44)
(493, 468, 155)
(493, 475, 132)
(505, 377, 336)
(505, 456, 217)
(509, 459, 220)
(521, 440, 279)
(533, 435, 308)
(533, 525, 92)
(541, 420, 341)
(545, 513, 184)
(545, 544, 33)
(557, 532, 165)
(565, 403, 396)
(565, 493, 276)
(569, 520, 231)
(577, 575, 48)
(593, 465, 368)
(601, 551, 240)
(613, 612, 35)
(617, 608, 105)
(625, 527, 336)
(629, 460, 429)
(629, 621, 100)
(641, 609, 200)
(653, 572, 315)
(661, 589, 300)
(673, 552, 385)
(677, 675, 52)
(685, 667, 156)
(685, 684, 37)
(689, 561, 400)
(689, 680, 111)
(697, 528, 455)
(697, 672, 185)
(701, 651, 260)
(709, 660, 259)
(725, 627, 364)
(725, 644, 333)
(733, 725, 108)
(745, 624, 407)
(745, 713, 216)
(757, 595, 468)
(761, 760, 39)
(769, 600, 481)
(773, 748, 195)
(785, 736, 273)
(785, 783, 56)
(793, 665, 432)
(793, 775, 168)
(797, 572, 555)
(809, 759, 280)
(821, 700, 429)
(829, 629, 540)
(841, 840, 41)
(845, 836, 123)
(845, 837, 116)
(853, 828, 205)
(857, 825, 232)
(865, 703, 504)
(865, 816, 287)
(877, 805, 348)
(881, 800, 369)
(901, 780, 451)
(901, 899, 60)
(905, 663, 616)
(905, 777, 464)
(925, 756, 533)
(925, 924, 43)
(929, 920, 129)
(937, 912, 215)
(941, 741, 580)
(949, 851, 420)
(949, 900, 301)
(953, 728, 615)
(965, 884, 387)
(965, 957, 124)
(977, 945, 248)
(985, 697, 696)
(985, 864, 473)
(997, 925, 372)
(1009, 840, 559)
(1013, 1012, 45)
(1021, 779, 660)
(1025, 897, 496)
(1025, 1023, 64)
(1033, 1015, 192)
(1037, 812, 645)
(1037, 988, 315)
(1049, 999, 320)
(1061, 861, 620)
(1069, 780, 731)
(1073, 952, 495)
(1073, 975, 448)
(1093, 1085, 132)
(1097, 928, 585)
(1105, 817, 744)
(1105, 943, 576)
(1105, 1073, 264)
(1105, 1104, 47)
(1109, 1100, 141)
(1117, 1092, 235)
(1129, 1080, 329)
(1145, 903, 704)
(1145, 1064, 423)
(1153, 1025, 528)
(1157, 868, 765)
(1157, 1155, 68)
(1165, 1044, 517)
(1165, 1147, 204)
(1181, 1131, 340)
(1189, 989, 660)
(1189, 1020, 611)
(1193, 855, 832)
(1201, 1200, 49)
(1205, 1107, 476)
(1205, 1196, 147)
(1213, 1188, 245)
(1217, 992, 705)
(1229, 1221, 140)
(1237, 1075, 612)
(1241, 1160, 441)
(1241, 1209, 280)
(1249, 960, 799)
(1261, 1140, 539)
(1261, 1189, 420)
(1277, 1035, 748)
(1285, 924, 893)
(1285, 1116, 637)
(1289, 1161, 560)
(1297, 1295, 72)
(1301, 1300, 51)
(1313, 1088, 735)
(1313, 1288, 255)
(1321, 1271, 360)
(1325, 987, 884)
(1325, 1276, 357)
(1345, 1056, 833)
(1345, 1247, 504)
(1361, 1240, 561)
(1369, 1081, 840)
(1373, 1365, 148)
(1381, 1020, 931)
(1385, 1216, 663)
(1385, 1353, 296)
(1405, 1333, 444)
(1405, 1404, 53)
(1409, 1400, 159)
(1417, 1175, 792)
(1417, 1392, 265)
(1429, 1380, 371)
(1433, 1305, 592)
(1445, 1364, 477)
(1445, 1443, 76)
(1453, 1435, 228)
(1465, 1127, 936)
(1465, 1344, 583)
(1469, 1269, 740)
(1469, 1419, 380)
(1481, 1120, 969)
(1489, 1320, 689)
(1493, 1395, 532)
(1513, 1225, 888)
(1513, 1512, 55)
(1517, 1292, 795)
(1517, 1508, 165)
(1525, 1363, 684)
(1525, 1517, 156)
(1537, 1488, 385)
(1537, 1505, 312)
(1549, 1260, 901)
(1553, 1472, 495)
(1565, 1173, 1036)
(1565, 1323, 836)
(1585, 1224, 1007)
(1585, 1457, 624)
(1597, 1428, 715)
(1601, 1599, 80)
(1609, 1591, 240)
(1613, 1275, 988)
(1621, 1421, 780)
(1625, 1184, 1113)
(1625, 1624, 57)
(1637, 1612, 285)
(1649, 1551, 560)
(1649, 1600, 399)
(1657, 1368, 935)
(1669, 1219, 1140)
(1681, 1519, 720)
(1685, 1564, 627)
(1685, 1677, 164)
(1693, 1332, 1045)
(1697, 1665, 328)
(1709, 1540, 741)
(1717, 1325, 1092)
(1717, 1645, 492)
(1721, 1479, 880)
(1733, 1292, 1155)
(1741, 1740, 59)
(1745, 1617, 656)
(1745, 1736, 177)
(1753, 1728, 295)
(1765, 1716, 413)
(1765, 1763, 84)
(1769, 1431, 1040)
(1769, 1480, 969)
(1777, 1265, 1248)
(1781, 1581, 820)
(1781, 1700, 531)
(1789, 1739, 420)
(1801, 1680, 649)
(1825, 1537, 984)
(1825, 1656, 767)
(1853, 1628, 885)
(1853, 1845, 172)
(1861, 1860, 61)
(1865, 1833, 344)
(1865, 1856, 183)
(1873, 1848, 305)
(1877, 1485, 1148)
(1885, 1596, 1003)
(1885, 1643, 924)
(1885, 1813, 516)
(1885, 1836, 427)
(1889, 1360, 1311)
(1901, 1820, 549)
(1913, 1785, 688)
(1921, 1560, 1121)
(1921, 1800, 671)
(1933, 1595, 1092)
(1937, 1425, 1312)
(1937, 1935, 88)
(1945, 1776, 793)
(1945, 1927, 264)
(1949, 1749, 860)
(1961, 1520, 1239)
(1961, 1911, 440)
(1973, 1748, 915)
(1985, 1887, 616)
(1985, 1984, 63)
(1993, 1705, 1032)
(1997, 1972, 315)
(2005, 1476, 1357)
(2005, 1716, 1037)
(2017, 1855, 792)
(2029, 2021, 180)
(2041, 1680, 1159)
(2041, 2009, 360)
(2045, 1653, 1204)
(2045, 1924, 693)
(2053, 1475, 1428)
(2069, 1900, 819)
(2081, 1640, 1281)
(2089, 1961, 720)
(2105, 1593, 1376)
(2105, 1767, 1144)
(2113, 2112, 65)
(2117, 2108, 195)
(2117, 2115, 92)
(2125, 1596, 1403)
(2125, 2107, 276)
(2129, 1840, 1071)
(2137, 2088, 455)
(2141, 2091, 460)
(2153, 2072, 585)
(2161, 1711, 1320)
(2165, 1804, 1197)
(2165, 2067, 644)
(2173, 1548, 1525)
(2173, 2052, 715)
(2197, 2035, 828)
(2213, 2205, 188)
(2221, 1829, 1260)
(2225, 1647, 1496)
(2225, 2193, 376)
(2237, 1995, 1012)
(2245, 2173, 564)
(2245, 2244, 67)
(2249, 1720, 1449)
(2249, 2240, 201)
(2257, 1968, 1105)
(2257, 2232, 335)
(2269, 2220, 469)
(2273, 2145, 752)
(2281, 1769, 1440)
(2285, 1947, 1196)
(2285, 2204, 603)
(2293, 1932, 1235)
(2297, 1672, 1575)
(2305, 2184, 737)
(2305, 2303, 96)
(2309, 2109, 940)
(2329, 2160, 871)
(2329, 2279, 480)
(2333, 1892, 1365)
(2341, 1891, 1380)
(2353, 2065, 1128)
(2353, 2255, 672)
(2357, 2132, 1005)
(2377, 1848, 1495)
(2381, 2380, 69)
(2389, 2100, 1139)
(2393, 2368, 345)
(2405, 1827, 1564)
(2405, 2013, 1316)
(2405, 2356, 483)
(2405, 2397, 196)
(2417, 2385, 392)
(2425, 2064, 1273)
(2425, 2183, 1056)
(2437, 2365, 588)
(2441, 2320, 759)
(2465, 1953, 1504)
(2465, 2024, 1407)
(2465, 2296, 897)
(2465, 2337, 784)
(2473, 2135, 1248)
(2477, 1755, 1748)
(2501, 2301, 980)
(2501, 2499, 100)
(2509, 1980, 1541)
(2509, 2491, 300)
(2521, 2520, 71)
(2525, 2236, 1173)
(2525, 2516, 213)
(2533, 1885, 1692)
(2533, 2508, 355)
(2545, 2257, 1176)
(2545, 2496, 497)
(2549, 2451, 700)
(2557, 1932, 1675)
(2561, 2200, 1311)
(2561, 2480, 639)
(2581, 2419, 900)
(2581, 2460, 781)
(2593, 2015, 1632)
(2605, 2436, 923)
(2605, 2597, 204)
(2609, 1880, 1809)
(2617, 2585, 408)
(2621, 2379, 1100)
(2633, 2408, 1065)
(2657, 2145, 1568)
(2665, 1943, 1824)
(2665, 2376, 1207)
(2665, 2537, 816)
(2665, 2664, 73)
(2669, 2331, 1300)
(2669, 2660, 219)
(2677, 2652, 365)
(2689, 2640, 511)
(2693, 2068, 1725)
(2701, 2340, 1349)
(2701, 2501, 1020)
(2705, 2624, 657)
(2705, 2703, 104)
(2713, 2695, 312)
(2725, 2077, 1764)
(2725, 2604, 803)
(2729, 2679, 520)
(2741, 2300, 1491)
(2749, 2580, 949)
(2753, 2655, 728)
(2777, 2552, 1095)
(2785, 2256, 1633)
(2785, 2623, 936)
(2789, 2211, 1700)
(2797, 2405, 1428)
(2801, 2001, 1960)
(2809, 2520, 1241)
(2813, 2805, 212)
(2813, 2812, 75)
(2825, 2583, 1144)
(2825, 2793, 424)
(2833, 2208, 1775)
(2837, 2788, 525)
(2845, 2484, 1387)
(2845, 2773, 636)
(2857, 2345, 1632)
(2861, 2139, 1900)
(2873, 2745, 848)
(2873, 2752, 825)
(2885, 2156, 1917)
(2885, 2444, 1533)
(2897, 2728, 975)
(2909, 2709, 1060)
(2917, 2915, 108)
(2929, 2400, 1679)
(2929, 2479, 1560)
(2941, 2100, 2059)
(2941, 2891, 540)
(2953, 2665, 1272)
(2957, 2668, 1275)
(2965, 2867, 756)
(2965, 2964, 77)
(2969, 2960, 231)
(2977, 2352, 1825)
(2977, 2952, 385)
(2993, 2415, 1768)
(2993, 2632, 1425)
(3001, 2201, 2040)
(3005, 2613, 1484)
(3005, 2924, 693)
(3029, 2300, 1971)
(3029, 3021, 220)
(3037, 2795, 1188)
(3041, 3009, 440)
(3049, 2880, 1001)
(3061, 2989, 660)
(3065, 2343, 1976)
(3065, 2553, 1696)
(3077, 2548, 1725)
(3077, 2852, 1155)
(3085, 2244, 2117)
(3085, 2747, 1404)
(3089, 2961, 880)
(3109, 2820, 1309)
(3121, 3120, 79)
(3125, 3116, 237)
(3133, 2485, 1908)
(3133, 3108, 395)
(3137, 3135, 112)
(3145, 2263, 2184)
(3145, 2784, 1463)
(3145, 3096, 553)
(3145, 3127, 336)
(3161, 3080, 711)
(3161, 3111, 560)
(3169, 2881, 1320)
(3181, 3060, 869)
(3205, 2627, 1836)
(3205, 3036, 1027)
(3209, 2409, 2120)
(3217, 3055, 1008)
(3221, 2829, 1540)
(3229, 2700, 1771)
(3233, 2392, 2175)
(3233, 3008, 1185)
(3253, 3245, 228)
(3257, 3015, 1232)
(3265, 2976, 1343)
(3265, 3233, 456)
(3277, 2555, 2052)
(3277, 2652, 1925)
(3281, 2769, 1760)
(3281, 3280, 81)
(3293, 2332, 2325)
(3293, 3268, 405)
(3301, 2940, 1501)
(3305, 2967, 1456)
(3305, 3256, 567)
(3313, 3185, 912)
(3329, 2600, 2079)
(3341, 2900, 1659)
(3341, 3220, 891)
(3349, 2701, 1980)
(3349, 3149, 1140)
(3361, 2911, 1680)
(3365, 3196, 1053)
(3365, 3363, 116)
(3373, 3355, 348)
(3385, 2544, 2233)
(3385, 2856, 1817)
(3389, 3339, 580)
(3413, 3315, 812)
(3425, 2847, 1904)
(3425, 3136, 1377)
(3433, 2808, 1975)
(3445, 2484, 2387)
(3445, 3053, 1596)
(3445, 3283, 1044)
(3445, 3444, 83)
(3449, 3440, 249)
(3457, 3432, 415)
(3461, 3100, 1539)
(3469, 3420, 581)
(3485, 2756, 2133)
(3485, 3243, 1276)
(3485, 3404, 747)
(3485, 3477, 236)
(3497, 2775, 2128)
(3497, 3465, 472)
(3505, 2993, 1824)
(3505, 3384, 913)
(3517, 3445, 708)
(3529, 3360, 1079)
(3533, 3195, 1508)
(3541, 2700, 2291)
(3545, 3016, 1863)
(3545, 3417, 944)
(3557, 3332, 1245)
(3581, 3381, 1180)
(3589, 3139, 1740)
(3589, 3300, 1411)
(3593, 2968, 2025)
(3601, 2640, 2449)
(3601, 3599, 120)
(3613, 3612, 85)
(3617, 3608, 255)
(3625, 3264, 1577)
(3625, 3337, 1416)
(3637, 3588, 595)
(3649, 2849, 2280)
(3649, 3551, 840)
(3653, 3075, 1972)
(3653, 3572, 765)
(3665, 2607, 2576)
(3665, 3224, 1743)
(3673, 3552, 935)
(3677, 3285, 1652)
(3697, 3528, 1105)
(3701, 2860, 2349)
(3709, 3180, 1909)
(3721, 3479, 1320)
(3725, 3003, 2204)
(3725, 3717, 244)
(3733, 2765, 2508)
(3737, 3225, 1888)
(3737, 3705, 488)
(3757, 3132, 2075)
(3757, 3685, 732)
(3761, 2800, 2511)
(3769, 3431, 1560)
(3785, 3657, 976)
(3785, 3784, 87)
(3793, 3432, 1615)
(3797, 3772, 435)
(3805, 2923, 2436)
(3805, 3157, 2124)
(3809, 3080, 2241)
(3809, 3760, 609)
(3821, 3621, 1220)
(3833, 3392, 1785)
(3845, 3724, 957)
(3845, 3843, 124)
(3853, 3835, 372)
(3865, 3024, 2407)
(3865, 3577, 1464)
(3869, 3700, 1131)
(3869, 3819, 620)
(3877, 3348, 1955)
(3881, 3081, 2360)
(3889, 3311, 2040)
(3893, 2835, 2668)
(3893, 3795, 868)
(3917, 3525, 1708)
(3925, 2964, 2573)
(3925, 3763, 1116)
(3929, 3640, 1479)
(3961, 3239, 2280)
(3961, 3960, 89)
(3965, 2997, 2596)
(3965, 3604, 1653)
(3965, 3723, 1364)
(3965, 3956, 267)
(3973, 3948, 445)
(3973, 3965, 252)
(3977, 3248, 2295)
(3977, 3465, 1952)
(3985, 3936, 623)
(3985, 3953, 504)
(3989, 2900, 2739)
(4001, 3920, 801)
(4013, 3675, 1612)
(4021, 3900, 979)
(4033, 3192, 2465)
(4033, 3905, 1008)
(4045, 3397, 2196)
(4045, 3876, 1157)
(4049, 3520, 2001)
(4057, 2905, 2832)
(4069, 3619, 1860)
(4069, 3869, 1260)
(4073, 3848, 1335)
(4093, 3132, 2635)
(4097, 3472, 2175)
(4097, 4095, 128)
(4105, 3816, 1513)
(4105, 4087, 384)
(4121, 3321, 2440)
(4121, 4071, 640)
(4129, 3071, 2760)
(4133, 3555, 2108)
(4141, 3780, 1691)
(4141, 4140, 91)
(4145, 4047, 896)
(4145, 4136, 273)
(4153, 4128, 455)
(4157, 3068, 2805)
(4177, 4015, 1152)
(4181, 3740, 1869)
(4181, 4100, 819)
(4201, 4080, 1001)
(4205, 3237, 2684)
(4205, 3483, 2356)
(4217, 3975, 1408)
(4225, 3696, 2047)
(4225, 3713, 2016)
(4229, 4221, 260)
(4241, 4209, 520)
(4253, 4028, 1365)
(4261, 4189, 780)
(4265, 3304, 2697)
(4265, 3927, 1664)
(4273, 3648, 2225)
(4285, 3403, 2604)
(4285, 3996, 1547)
(4289, 4161, 1040)
(4297, 3145, 2928)
(4321, 3871, 1920)
(4321, 3960, 1729)
(4325, 3596, 2403)
(4325, 4324, 93)
(4337, 4312, 465)
(4349, 4300, 651)
(4357, 4355, 132)
(4369, 3569, 2520)
(4369, 4081, 1560)
(4373, 3315, 2852)
(4381, 3540, 2581)
(4381, 4331, 660)
(4385, 3807, 2176)
(4385, 4264, 1023)
(4397, 3172, 3045)
(4405, 3876, 2093)
(4405, 4307, 924)
(4409, 4240, 1209)
(4421, 4029, 1820)
(4441, 3480, 2759)
(4453, 3485, 2772)
(4453, 3828, 2275)
(4457, 3735, 2432)
(4469, 3219, 3100)
(4469, 4180, 1581)
(4481, 3969, 2080)
(4493, 4485, 268)
(4505, 3416, 2937)
(4505, 3776, 2457)
(4505, 4144, 1767)
(4505, 4473, 536)
(4513, 4512, 95)
(4517, 4508, 285)
(4525, 4187, 1716)
(4525, 4453, 804)
(4537, 3655, 2688)
(4537, 4488, 665)
(4549, 3901, 2340)
(4553, 4425, 1072)
(4553, 4472, 855)
(4561, 3720, 2639)
(4573, 3348, 3115)
(4573, 4452, 1045)
(4589, 4060, 2139)
(4589, 4389, 1340)
(4597, 4428, 1235)
(4621, 3660, 2821)
(4625, 3567, 2944)
(4625, 4623, 136)
(4633, 4345, 1608)
(4633, 4615, 408)
(4637, 4012, 2325)
(4645, 3293, 3276)
(4645, 4067, 2244)
(4649, 4599, 680)
(4657, 4368, 1615)
(4673, 4575, 952)
(4685, 3596, 3003)
(4685, 4293, 1876)
(4705, 4543, 1224)
(4705, 4704, 97)
(4709, 3741, 2860)
(4709, 4700, 291)
(4717, 3995, 2508)
(4717, 4692, 485)
(4721, 3471, 3200)
(4729, 4680, 679)
(4733, 4292, 1995)
(4745, 3904, 2697)
(4745, 4233, 2144)
(4745, 4503, 1496)
(4745, 4664, 873)
